dataset,key_id,key_mass,delta_k,mean_S_u1,within_key_cov,per_key_auc
n4q19d43,98,268435456,0.0520760118961,0.252878289474,0.00099143558672,0.559727212711
n4q19d43,99,268435456,0.0336562395096,0.252364309211,0.00103890740215,0.604350809445
n4q19d43,100,268435456,0.024528503418,0.253803453947,6.308445805e-05,0.518262131667
n4q19d43,101,268435456,0.12483677268,0.252158717105,0.00554989026185,0.669432352067
n4q19d43,102,268435456,0.0833114385605,0.253700657895,0.000368773398039,0.470262192031
n4q19d43,103,268435456,0.0216860771179,0.254214638158,0.000609554791529,0.600892064762
n4q19d43,104,268435456,0.0529127120972,0.239925986842,0.00174130166047,0.637670256049
n4q19d43,105,268435456,0.0116744041443,0.255037006579,-9.72019900617e-05,0.417133968958
n4q19d43,106,268435456,0.144780695438,0.251027960526,0.00118128566905,0.513859178564
n4q19d43,107,268435456,0,0.228207236842,0,
n4q19d43,108,268435456,0.092531837523,0.254934210526,0.00235587045991,0.604279106804
n4q19d43,109,268435456,0.01220703125,0.248766447368,-4.75833290502e-05,0.523448158675
n4q19d43,110,268435456,0.00674438476562,0.239309210526,-4.87628735994e-05,0.415438891227
n4q19d43,111,268435456,0,0.224609375,0,
n4q19d43,112,268435456,0.0495967268944,0.182976973684,0.000225148629397,0.513289776074
n4q19d43,113,268435456,0.0837427675724,0.251953125,0.00103206594634,0.495837093988
n4q19d43,114,268435456,0.01513671875,0.253495065789,-0.000900971262079,0.172845502618
n4q19d43,115,268435456,0.0408690869808,0.251336348684,-3.97922244462e-05,0.445409319819
n4q19d43,116,268435456,0.0879820585251,0.253597861842,0.000855330218512,0.49374961568
n4q19d43,117,268435456,0.107730388641,0.253495065789,0.000977723320064,0.552604348724
n4q19d43,118,268435456,0.0883041322231,0.254523026316,0.000773378292491,0.513188413585
n4q19d43,119,268435456,0.050895690918,0.239103618421,0.000520171303498,0.527924392011
n4q19d43,120,268435456,0.005859375,0.250411184211,0.000277067485609,0.675162504605
n4q19d43,121,268435456,0.0589392185211,0.249588815789,0.000404779162062,0.498732104527
n4q19d43,122,268435456,0.0342311859131,0.250513980263,-0.000977566171634,0.449885950345
n4q19d43,123,268435456,0.0424496531487,0.252055921053,0.0010754746679,0.556107367069
n4q19d43,124,268435456,0.029122531414,0.253700657895,0.0012104814431,0.664037722275
n4q19d43,125,268435456,0.108439147472,0.251336348684,0.00177017766615,0.532327968754
n4q19d43,126,268435456,0.0228620767593,0.255550986842,-0.000252993262716,0.447679051376
n4q19d43,127,268435456,0.00869846343994,0.243318256579,-0.000354757336409,0.281401794711
n8q29d43,0,4398046511104,0.0342559814453,0.205280172414,9.58072728124e-05,0.519120322016
n8q29d43,1,4398046511104,0.0102453231812,0.271551724138,0.000261163917081,0.586127684482
n8q29d43,2,4398046511104,0.0834697633982,0.264816810345,-0.000368306537737,0.444207765529
n8q29d43,3,4398046511104,0.0991973876953,0.254040948276,-0.00108369876598,0.400377974502
n8q29d43,4,4398046511104,0.0555394664407,0.231142241379,-0.000220393252174,0.487253105442
n8q29d43,5,4398046511104,0.00971984863281,0.199084051724,0.000559054572007,0.872785603082
n8q29d43,6,4398046511104,0.015625,0.268857758621,-0.000749259159483,0.270322924805
n8q29d43,7,4398046511104,0.04208458215,0.233566810345,-0.000325639256485,0.415956850169
n8q29d43,8,4398046511104,0.074642598629,0.273976293103,-0.000244225198724,0.460916926795
n8q29d43,9,4398046511104,0.0166395306587,0.242726293103,0.000513834926974,0.670623022714
n8q29d43,10,4398046511104,0.0208037495613,0.260506465517,-6.97466030974e-05,0.441049712455
n8q29d43,11,4398046511104,0.11282736063,0.2734375,0.000854958892511,0.609061035232
n8q29d43,12,4398046511104,0.031005859375,0.299568965517,-0.000275184368265,0.416374503765
n8q29d43,13,4398046511104,0.211121439934,0.230334051724,0.00245764623557,0.52876205044
n8q29d43,14,4398046511104,0.0457611083984,0.290140086207,0.00155228992988,0.672683718398
n8q29d43,15,4398046511104,0.079745054245,0.214978448276,0.000654324760725,0.568325697627
n8q29d43,16,4398046511104,0.0890509188175,0.284482758621,0.00296897916444,0.678206100119
n8q29d43,17,4398046511104,0.123623506166,0.277478448276,0.000183697680015,0.520294929466
n8q29d43,18,4398046511104,0.0678986907005,0.23275862069,0.00217565495906,0.623144268513
n8q29d43,19,4398046511104,0.041015625,0.274784482759,0.000921841325431,0.691611576469
n8q29d43,20,4398046511104,0.0871528685093,0.254310344828,0.000547298519262,0.590408879451
n8q29d43,21,4398046511104,0.205334242433,0.222521551724,-0.000660230973655,0.465759550065
n8q29d43,22,4398046511104,0.103008270264,0.234375,-0.00132688982733,0.359050367364
n8q29d43,23,4398046511104,0.22692176234,0.243265086207,-0.000194994402811,0.480969153363
n8q29d43,24,4398046511104,0.0315474867821,0.235452586207,-0.000453555731681,0.431619642772
