feature_id,feature_value,Nz,Ez
secret_key,"A=5.3.9.17|t=0.18.18.0|e=0.0.0.1",268435456,4595232
secret_key,"A=5.7.17.8|t=0.0.1.18|e=0.0.0.0",268435456,1264384
secret_key,"A=5.8.16.7|t=0.18.18.0|e=1.0.1.0",268435456,10842848
secret_key,"A=6.10.18.9|t=18.18.1.0|e=0.1.0.18",268435456,14066912
secret_key,"A=6.11.5.14|t=18.0.1.1|e=1.0.18.0",268435456,17724680
secret_key,"A=6.12.18.0|t=0.0.0.0|e=0.18.18.0",268435456,0
secret_key,"A=6.14.17.3|t=0.18.1.0|e=0.0.1.18",268435456,7731680
secret_key,"A=6.2.0.4|t=18.0.1.18|e=18.0.1.0",268435456,19555168
secret_key,"A=6.3.5.8|t=18.0.1.0|e=18.0.18.18",268435456,18561136
secret_key,"A=6.7.7.2|t=0.0.18.18|e=1.0.1.1",268435456,12441208
secret_key,"A=7.11.17.12|t=0.1.18.18|e=1.18.0.0",268435456,19574832
secret_key,"A=7.16.0.7|t=0.0.1.0|e=0.18.0.1",268435456,1572864
secret_key,"A=7.16.9.3|t=0.1.1.0|e=0.0.1.0",268435456,6136992
secret_key,"A=7.18.15.16|t=0.18.0.1|e=0.18.1.1",268435456,14203648
secret_key,"A=8.0.7.18|t=0.0.18.0|e=0.1.1.18",268435456,9693184
secret_key,"A=8.1.9.1|t=0.0.1.1|e=0.18.0.1",268435456,9188864
secret_key,"A=8.13.17.5|t=0.0.1.18|e=0.18.0.1",268435456,10970712
secret_key,"A=8.15.2.7|t=18.1.1.1|e=0.18.1.0",268435456,30374552
secret_key,"A=8.15.3.15|t=18.18.1.18|e=0.1.1.18",268435456,33517996
secret_key,"A=8.2.12.6|t=1.0.1.18|e=18.18.1.1",268435456,38864272
secret_key,"A=8.3.12.7|t=1.0.1.1|e=1.0.0.1",268435456,17229744
secret_key,"A=8.3.9.8|t=1.0.0.18|e=0.0.0.1",268435456,4276248
secret_key,"A=8.4.9.7|t=0.0.0.0|e=1.1.1.0",268435456,4063232
secret_key,"A=8.5.3.14|t=0.18.0.1|e=1.1.0.0",268435456,13979048
secret_key,"A=8.6.12.5|t=18.0.18.0|e=18.1.0.18",268435456,13811710
secret_key,"A=8.9.14.7|t=0.0.18.0|e=1.1.0.0",268435456,2596864
secret_key,"A=9.1.17.15|t=1.0.0.18|e=0.0.1.0",268435456,5863552
secret_key,"A=9.11.2.11|t=1.0.0.18|e=0.0.0.0",268435456,565248
secret_key,"A=9.11.9.3|t=0.0.1.1|e=1.1.1.18",268435456,28918656
secret_key,"A=9.12.11.1|t=1.18.0.1|e=18.18.1.18",268435456,32456096
secret_key,"A=9.13.10.4|t=0.1.0.0|e=0.18.18.18",268435456,6584320
secret_key,"A=9.17.6.15|t=0.18.0.18|e=18.18.0.0",268435456,10223040
secret_key,"A=9.8.16.16|t=1.0.18.1|e=0.0.0.1",268435456,13447248
secret_key,"A=9.9.10.14|t=1.0.1.1|e=0.0.18.0",268435456,5534208
