rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1656,0:-1:1;9:-8:1;,2487,46208,4329187088,1168857669,4.215664234670264,1.8889968841152156
1657,0:-4:1;3:-4:1;,311,5776,541321666,146165957,4.215084256756568,1.8888787946359549
1658,0:-4:1;3:4:1;,131,2432,227997872,61568297,4.214504511906135,1.8887607903906227
1659,0:1:1;9:-8:1;,2491,46208,4334732048,1170737617,4.213345720646334,1.8885250372313176
1660,0:4:1;3:-4:1;,623,11552,1084029572,292801901,4.212766673863169,1.8884072881324676
1661,0:4:1;3:4:1;,2493,46208,619643504,167382513,4.21218785939567,1.8882896238977922
1662,1:0:1;8:-7:1;,2495,46208,4340277008,1172617565,4.2110309266625485,1.8880545496526868
1663,2:-1:1;3:-2:1;,2497,46208,4343049488,1173557539,4.209874920958959,1.8878198137607825
1664,2:-2:1;3:1:1;,2499,46208,4345821968,1174497513,4.208719840800467,1.887585415488993
1665,2:-3:1;8:-9:1;,2501,46208,4348594448,1175437487,4.207565684706201,1.8873513541063576
1666,2:1:1;3:2:1;,2503,46208,4351366928,1176377461,4.206412451198839,1.8871176288840323
1667,2:2:1;3:-1:1;,2505,46208,4354139408,1177317435,4.2052601388046,1.8868842390952834
1668,2:9:1;9:-6:1;,1253,23104,2177762824,588893711,4.20468432756531,1.8867676697619706
1669,3:-2:1;4:6:1;,2507,46208,622415984,168322487,4.204108746053232,1.8866511840154787
1670,3:-2:1;4:7:1;,2509,46208,335360336,90707491,4.202958271477998,1.8864184629220808
1671,3:-2:1;4:8:1;,1255,23104,2180535304,589833685,4.202383378049037,1.8863022273950625
1672,3:-6:1;4:-2:1;,2511,46208,4362456848,1180137357,4.201808713615671,1.886186075094639
1673,3:-7:1;4:-2:1;,2513,46208,4365229328,1181077331,4.200660071006515,1.8859540198147817
1674,3:-8:1;4:-2:1;,1257,23104,311901112,84396237,4.200086092466663,1.885838116656273
1675,3:2:1;4:-6:1;,2515,46208,4368001808,1182017305,4.199512342194281,1.8857222963662092
1676,3:2:1;4:-7:1;,2517,46208,4370774288,1182957279,4.198365525726191,1.885490904034686
1677,3:2:1;4:-8:1;,1259,23104,2186080264,591713633,4.197792459168155,1.8853753318151818
1678,3:6:1;4:2:1;,2519,46208,4373546768,1183897253,4.1972196201529295,1.8852598421080333
1679,3:7:1;4:2:1;,2521,46208,625188464,169262461,4.196074624028631,1.8850291098761214
1680,3:8:1;4:2:1;,1261,23104,168373288,45588739,4.195502466558951,1.8849138671743364
1681,4:3:1;5:4:1;,631,11552,1095119492,296561797,4.194358831904622,1.8846836281575081
1682,-3:-2:1;0:-2:1;,2525,46208,625979776,169531025,4.193787354360651,1.8845667299614393
1683,-3:-2:1;0:2:1;,1263,23104,730539816,197864527,4.193216103099619,1.8844499148598386
1684,-3:-3:1;5:-7:1;,7,128,12145760,3289909,4.192645077942396,1.8843331827637564
1685,-3:-7:1;5:3:1;,79,1444,274124989,74257946,4.192074278710068,1.8842165335843701
1686,-3:2:1;0:-2:1;,2529,46208,1462460096,396199041,4.191503705223933,1.8840999672329848
1687,-3:2:1;0:2:1;,1265,23104,2194380376,594533555,4.190933357305498,1.883983483621032
1688,-3:3:1;5:7:1;,2531,46208,4390141216,1189537097,4.190363234776487,1.883867082660071
1689,-3:7:1;5:-3:1;,633,11552,52280020,14166751,4.18979333745883,1.8837507642617863
1690,-5:-3:1;-3:-7:1;,2533,46208,4392902144,1190477071,4.18922366517467,1.8836345283379896
1691,-5:-3:1;3:7:1;,1267,23104,2197141304,595473529,4.188654217746362,1.8835183748006186
1692,-5:-7:1;-3:3:1;,2535,46208,1465221024,397139015,4.188084994996468,1.8834023035617364
1693,-5:-7:1;3:-3:1;,317,5776,549630442,148985879,4.187515996747764,1.8832863145335326
1694,-5:3:1;-3:7:1;,2537,46208,4398424000,1192357019,4.186947222823232,1.883170407628321
1695,-5:3:1;3:-7:1;,1269,23104,733300744,198804501,4.1863786730460655,1.8830545827585419
1696,-5:7:1;-3:-3:1;,2539,46208,628740704,170470999,4.1858103472396655,1.8829388398367595
1697,-5:7:1;3:3:1;,635,11552,1100641348,298441745,4.185242245227642,1.882823178775663
1698,0:-2:1;3:-2:1;,2541,46208,1467981952,398078989,4.184674366833816,1.8827075994880667
1699,0:-2:1;3:2:1;,1271,23104,2202663160,597353477,4.184106711882212,1.8825921018869083
1700,0:2:1;3:-2:1;,2543,46208,4406706784,1195176941,4.183539280197065,1.8824766858852502
1701,0:2:1;3:2:1;,159,2888,91835151,24909311,4.182972071602816,1.8823613513962785
1702,3:-3:1;5:7:1;,2545,46208,4409467712,1196116915,4.182405085924113,1.8822460983333031
1703,3:-7:1;5:-3:1;,67,1216,16582136,4498447,4.181838322985813,1.8821309266097566
