threshold,selection_probability,actual_selection_cost_bits,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,gain_ci_low,gain_ci_high,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status
0.19827586206896552,0.87686556577682495,0.18957241807095729,0.071760690006158256,0.070888914752625487,0.98785163223126815,-0.017633718581122129,-0.069943304575374482,0.030310600071143085,10000,0,0,SUPPORTED
0.20258620689655171,0.85480934381484985,0.22632541688300409,0.071760690006158256,0.070965700125029493,0.98892165221571116,-0.016071867570564786,-0.071578555883175299,0.035737597139903474,10000,0,0,SUPPORTED
0.20689655172413793,0.83128944039344788,0.26657720932878926,0.071760690006158256,0.070908850731746118,0.98812944420769866,-0.017228048741349179,-0.077652450002004353,0.039882373221280111,10000,0,0,SUPPORTED
0.21120689655172414,0.80663803219795227,0.31000666587323755,0.071760690006158256,0.07095969730167366,0.98883800163549351,-0.016193906946870638,-0.082096361352232278,0.045406105672231932,10000,0,0,SUPPORTED
0.21551724137931033,0.77977859973907471,0.35886353296274048,0.071760690006158256,0.070637623515069206,0.98434983706270562,-0.022756955645576442,-0.095156268323654591,0.04541436837015228,10000,0,0,SUPPORTED
0.21982758620689655,0.75284916162490845,0.4095672546574281,0.071760690006158256,0.070788027608503334,0.98644574909227534,-0.019688384706609618,-0.098142530942417511,0.053353581506981544,10000,0,0,SUPPORTED
0.22413793103448276,0.72179347276687622,0.47034199799391352,0.071760690006158256,0.071039424178039434,0.98994901208367803,-0.014573874653061262,-0.096224890644712374,0.063024770153331064,10000,0,0,SUPPORTED
0.22844827586206898,0.69251558184623718,0.53008156221017166,0.071760690006158256,0.071403068091394045,0.99501646493737006,-0.007207696178856038,-0.093932881052497599,0.07478396890092788,10000,0,0,SUPPORTED
0.23275862068965517,0.65964651107788086,0.6002349694053063,0.071760690006158256,0.07143541460331411,0.995467220245287,-0.0065542846856161642,-0.095292709325656172,0.078783479367949785,10000,0,0,SUPPORTED
0.23706896551724138,0.62875211238861084,0.66943675300704419,0.071760690006158256,0.071798358340300392,1.00052491599703,0.00075709501753484115,-0.090597703398698895,0.090895645739193592,10000,0,0,SUPPORTED
0.2413793103448276,0.59633913636207581,0.74579507427031588,0.071760690006158256,0.071232776668698483,0.99264341887718099,-0.010652534440513502,-0.10779170435952175,0.084408453481654822,10000,0,0,SUPPORTED
0.24568965517241378,0.56589540839195251,0.82139266327518889,0.071760690006158256,0.071273094359583261,0.99320525420626316,-0.009836201277089637,-0.11373571006143349,0.090955941843497964,10000,0,0,SUPPORTED
