rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
14255,A=4.15|t=10.15,49471,73984,1,1,0.5806302407205195,0.0
14256,A=4.15|t=10.16,773,1156,1,1,0.5806010785758314,0.0
14257,A=4.15|t=11.14,24737,36992,1,1,0.5805427560548164,0.0
14258,A=4.15|t=11.15,24739,36992,1,1,0.5804261180855648,0.0
14259,A=4.15|t=11.16,6185,9248,1,1,0.5803678026369467,0.0
14260,A=4.15|t=12.1,24741,36992,1,1,0.5803094895454133,0.0
14261,A=4.15|t=12.14,49483,73984,1,1,0.5802803338834936,0.0
14262,A=4.15|t=12.15,49485,73984,1,1,0.5802220243272295,0.0
14263,A=4.15|t=12.16,24743,36992,1,1,0.5801928704328375,0.0
14264,A=4.15|t=12.2,24745,36992,1,1,0.5800762607463136,0.0
14265,A=4.15|t=12.3,12373,18496,1,1,0.5800179594373448,0.0
14266,A=4.15|t=13.1,6187,9248,1,1,0.5799013638870418,0.0
14267,A=4.15|t=13.2,91,136,1,1,0.5796682010516432,0.0
14268,A=4.15|t=13.3,12377,18496,1,1,0.5795516337635023,0.0
14269,A=4.15|t=14.1,24755,36992,1,1,0.5794933536511557,0.0
14270,A=4.15|t=14.12,6189,9248,1,1,0.5794350758930379,0.0
14271,A=4.15|t=14.13,12379,18496,1,1,0.5793185274387281,0.0
14272,A=4.15|t=14.14,24759,36992,1,1,0.579260256742156,0.0
14273,A=4.15|t=14.2,24761,36992,1,1,0.5791437224092257,0.0
14274,A=4.15|t=14.3,12381,18496,1,1,0.5790854587724881,0.0
14275,A=4.15|t=14.5,49525,73984,1,1,0.5790563278364678,0.0
14276,A=4.15|t=14.6,49527,73984,1,1,0.5789980677290055,0.0
14277,A=4.15|t=14.7,6191,9248,1,1,0.5789689385575163,0.0
14278,A=4.15|t=15.12,12383,18496,1,1,0.5788524277526165,0.0
14279,A=4.15|t=15.13,12385,18496,1,1,0.5786194343669534,0.0
14280,A=4.15|t=15.14,6193,9248,1,1,0.5785029517831519,0.0
14281,A=4.15|t=15.5,24773,36992,1,1,0.5784447140178444,0.0
14282,A=4.15|t=15.6,24775,36992,1,1,0.5783282455394658,0.0
14283,A=4.15|t=15.7,3097,4624,1,1,0.5782700148260158,0.0
14284,A=4.15|t=16.0,6195,9248,1,1,0.5780371154727151,0.0
14285,A=4.15|t=16.1,12391,18496,1,1,0.577920679893709,0.0
14286,A=4.15|t=16.12,24783,36992,1,1,0.5778624656279536,0.0
14287,A=4.15|t=16.13,24785,36992,1,1,0.5777460441429898,0.0
14288,A=4.15|t=16.14,729,1088,1,1,0.5776878369234023,0.0
14289,A=4.15|t=16.16,6197,9248,1,1,0.5775714295290689,0.0
14290,A=4.15|t=16.5,49577,73984,1,1,0.5775423291480227,0.0
14291,A=4.15|t=16.6,49579,73984,1,1,0.577484130146809,0.0
14292,A=4.15|t=16.7,12395,18496,1,1,0.5774550315265943,0.0
14293,A=4.15|t=2.10,24791,36992,1,1,0.5773968360468305,0.0
14294,A=4.15|t=2.11,24793,36992,1,1,0.5772804521293029,0.0
14295,A=4.15|t=2.12,12397,18496,1,1,0.5772222636911604,0.0
14296,A=4.15|t=2.3,6199,9248,1,1,0.5771058938551716,0.0
14297,A=4.15|t=2.4,775,1156,1,1,0.5768731823390789,0.0
14298,A=4.15|t=2.5,12401,18496,1,1,0.5767568406559476,0.0
14299,A=4.15|t=3.10,49605,73984,1,1,0.5767277567010456,0.0
14300,A=4.15|t=3.11,49607,73984,1,1,0.5766695905501329,0.0
14301,A=4.15|t=3.12,6201,9248,1,1,0.5766405083540752,0.0
14302,A=4.15|t=3.14,24805,36992,1,1,0.5765823457206383,0.0
14303,A=4.15|t=3.15,24807,36992,1,1,0.576466027487818,0.0
14304,A=4.15|t=3.16,3101,4624,1,1,0.5764078718880563,0.0
14305,A=4.15|t=3.3,24809,36992,1,1,0.5763497186324753,0.0
14306,A=4.15|t=3.4,24811,36992,1,1,0.5762334191530984,0.0
14307,A=4.15|t=3.5,6203,9248,1,1,0.5761752729289247,0.0
14308,A=4.15|t=4.14,12407,18496,1,1,0.5760589875106625,0.0
14309,A=4.15|t=4.15,12409,18496,1,1,0.5758264447891905,0.0
14310,A=4.15|t=4.16,365,544,1,1,0.57571018748296,0.0
14311,A=4.15|t=5.1,49641,73984,1,1,0.5756811246201574,0.0
14312,A=4.15|t=5.14,49643,73984,1,1,0.5756230006508943,0.0
14313,A=4.15|t=5.15,49647,73984,1,1,0.5755067597370727,0.0
14314,A=4.15|t=5.16,49649,73984,1,1,0.5754486427921368,0.0
14315,A=4.15|t=5.2,49651,73984,1,1,0.5753905281882663,0.0
14316,A=4.15|t=5.3,12413,18496,1,1,0.5753614717641716,0.0
14317,A=4.15|t=6.1,24827,36992,1,1,0.5753033606715456,0.0
14318,A=4.15|t=6.2,24829,36992,1,1,0.575187145507886,0.0
14319,A=4.15|t=6.3,12415,18496,1,1,0.5751290414364757,0.0
14320,A=4.15|t=7.1,49661,73984,1,1,0.5750999902782927,0.0
14321,A=4.15|t=7.2,49663,73984,1,1,0.5750418897168541,0.0
14322,A=4.15|t=7.3,194,289,1,1,0.5750128403135513,0.0
14323,A=4.16|t=0.0,3105,4624,1,1,0.5745481293928351,0.0
14324,A=4.16|t=0.1,6211,9248,1,1,0.5743158300539726,0.0
14325,A=4.16|t=0.12,24845,36992,1,1,0.5742577610632065,0.0
14326,A=4.16|t=0.13,24847,36992,1,1,0.5741416300930973,0.0
14327,A=4.16|t=0.14,1553,2312,1,1,0.5740835681133775,0.0
14328,A=4.16|t=0.16,6213,9248,1,1,0.5738513435590108,0.0
14329,A=4.16|t=0.3,24853,36992,1,1,0.5737932932606069,0.0
14330,A=4.16|t=0.4,24855,36992,1,1,0.5736771996707084,0.0
14331,A=4.16|t=0.5,3107,4624,1,1,0.5736191563788381,0.0
14332,A=4.16|t=1.0,6215,9248,1,1,0.5733870065608316,0.0
14333,A=4.16|t=1.1,12431,18496,1,1,0.5732709456588833,0.0
14334,A=4.16|t=1.16,777,1156,1,1,0.5731548940929687,0.0
14335,A=4.16|t=1.3,12433,18496,1,1,0.5730388518615859,0.0
14336,A=4.16|t=1.4,12435,18496,1,1,0.5728067953964099,0.0
14337,A=4.16|t=1.5,3109,4624,1,1,0.5726907811596148,0.0
14338,A=4.16|t=11.13,49745,73984,1,1,0.5726617790580569,0.0
14339,A=4.16|t=11.14,49747,73984,1,1,0.5726037766039468,0.0
