dataset,statistic,quintile,margin,conditional_cdf
e1a,S_u1,2,5,1
e1a,S_u1,3,-4,0.00010052849264705882
e1a,S_u1,3,-3,0.0035448261335784314
e1a,S_u1,3,-2,0.0036908318014705881
e1a,S_u1,3,-1,0.032369576248468139
e1a,S_u1,3,1,0.087292839499080885
e1a,S_u1,3,2,0.24638965083103553
e1a,S_u1,3,3,0.7603759765625
e1a,S_u1,3,4,0.77311197916666663
e1a,S_u1,3,5,1
e1a,S_u1,4,-5,1.1625744047619049e-06
e1a,S_u1,4,-4,6.2197730654761901e-05
e1a,S_u1,4,-3,0.0013735816592261906
e1a,S_u1,4,-2,0.0016694568452380952
e1a,S_u1,4,-1,0.055730183919270836
e1a,S_u1,4,1,0.11376146589006697
e1a,S_u1,4,2,0.24233925229027159
e1a,S_u1,4,3,0.60263097853887648
e1a,S_u1,4,4,0.63639802478608631
e1a,S_u1,4,5,1
e1a,S_u1,5,-5,6.1035156250000003e-06
e1a,S_u1,5,-4,7.0190429687499995e-05
e1a,S_u1,5,-3,0.0009307861328125
e1a,S_u1,5,-2,0.0024765014648437502
e1a,S_u1,5,-1,0.055081303914388022
e1a,S_u1,5,1,0.12716337839762371
e1a,S_u1,5,2,0.22040189107259114
e1a,S_u1,5,3,0.55819021860758467
e1a,S_u1,5,4,0.61275456746419266
e1a,S_u1,5,5,1
n4q29d43,S_u1,1,-4,1.1779561988767009e-05
n4q29d43,S_u1,1,-3,5.8014342794677522e-05
n4q29d43,S_u1,1,-2,0.00061446060502186285
n4q29d43,S_u1,1,-1,0.0040761241677739453
n4q29d43,S_u1,1,1,0.019293661756356252
n4q29d43,S_u1,1,2,0.076289587651048957
n4q29d43,S_u1,1,3,0.18161447601163064
n4q29d43,S_u1,1,4,0.46122748601305852
n4q29d43,S_u1,1,5,0.69267774040742414
n4q29d43,S_u1,1,6,0.90567450484013001
n4q29d43,S_u1,1,7,0.99537487117024348
n4q29d43,S_u1,1,8,1
n4q29d43,S_u1,2,-5,2.647491766300607e-06
n4q29d43,S_u1,2,-4,1.6381355303985006e-05
n4q29d43,S_u1,2,-3,0.00015132070126761907
n4q29d43,S_u1,2,-2,0.0010355415841531734
