dataset,statistic,quintile,quintile_probability,score_min,score_max,mean_margin,median_margin,failure_probability
e1a,B_u_low_1_4,3,1,0,0,3.7207362103660353,5,0.039730927950787739
e1a,B_v_low_1_4,3,1,0,0,3.7207362103660353,5,0.039730927950787739
e1a,B_sum_low_1_4,3,1,0,0,3.7207362103660353,5,0.039730927950787739
e1a,B_u_low_3_8,2,0.60110803324099726,0,0,4.0545379005818871,5,0.033182627594416043
e1a,B_u_low_3_8,4,0.32409972299168976,0.5,0.5,3.2296640771067042,3,0.051228971562833868
e1a,B_u_low_3_8,5,0.074792243767313013,1,1,3.1659389071994357,3,0.042535004792390044
e1a,B_v_low_3_8,3,1,0,0,3.7207362103660353,5,0.039730927950787739
e1a,B_sum_low_3_8,2,0.60110803324099726,0,0,4.0545379005818871,5,0.033182627594416043
e1a,B_sum_low_3_8,4,0.32409972299168976,0.5,0.5,3.2296640771067042,3,0.051228971562833868
e1a,B_sum_low_3_8,5,0.074792243767313013,1,1,3.1659389071994357,3,0.042535004792390044
e1a,C_u,1,0.3476454293628809,-1,-1,4.5845417463446996,5,0.01942042620533491
e1a,C_u,4,0.6523545706371191,-0.5,-0.5,3.2604067209166834,3,0.050554571131485537
e1a,C_v,1,0.35224284755886426,-1,-1,4.1210767854125789,5,0.027929980742868333
e1a,C_v,4,0.64775715244113574,-0.5,-0.5,3.503035635982084,3,0.046148146553074199
e1a,C_sum,1,0.15763103664746905,-2,-2,4.8091956340755235,5,0.0077811913493724344
e1a,C_sum,2,0.38462620362680705,-1.5,-1.5,3.9759584886387458,5,0.036753720118103086
e1a,C_sum,4,0.45774275972572392,-1,-1,3.1314529119416603,3,0.053234980425352303
e1a,S_C,1,0.19900208364893526,-0.27451083343777494,-0.13940113061849738,2.7326102517156641,3,0.069608801021220926
e1a,S_C,2,0.20060715186628938,-0.13725541671888747,-0.095079800978608187,3.2381661138752147,3,0.056843476704430948
e1a,S_C,3,0.21205895759392313,-0.089539634773622034,-0.02645209261916448,3.2901213694409961,3,0.05780555734945772
e1a,S_C,4,0.12243421982530081,-0.020911926414178328,0.0055401662049861496,4.4766865364489066,5,0.012562791083851655
e1a,S_C,5,0.26589758706555144,0.0089346185103623549,0.03573847404144942,4.8196844423793266,5,0.002554072758088599
n4q29d43,T_marg,1,0.20053416799055412,-0.64856934597788563,-0.15979146236894659,4.8173155863213655,5,0.003381567242659542
n4q29d43,T_marg,2,0.20065838316804729,-0.15835532270466654,0.0073802957817081655,4.5173529744945515,4,0.0055028597131939264
n4q29d43,T_marg,3,0.19832008684170432,0.0079080790595070227,0.15377430114529456,4.4221734012952458,4,0.006232626882188794
n4q29d43,T_marg,4,0.19934760799515061,0.15401955135084061,0.32334094981078371,4.4138582445897168,4,0.0063002735330814378
n4q29d43,T_marg,5,0.20113975400454365,0.32361194803676818,1.0966912524904293,4.4014915016270537,4,0.006639659981544181
n4q29d43,S_u2,1,0.1992950439453125,0,0.047265160523186682,4.6621749516641842,5,0.0043705302881670623
n4q29d43,S_u2,2,0.19872665405273438,0.048156956004756245,0.071938168846611181,4.5285070833586403,4,0.0049561085816777041
n4q29d43,S_u2,3,0.20397758483886719,0.072235434007134364,0.092152199762187872,4.5188410945269633,4,0.0053191759424413001
n4q29d43,S_u2,4,0.19854927062988281,0.093638525564803801,0.116230677764566,4.4423428643959895,4,0.0071677390964076772
n4q29d43,S_u2,5,0.19945144653320312,0.11652794292508918,0.22502972651605233,4.4213481308089921,4,0.0062458103628998517
n4q29d43,S_v2,1,0.1956455186009407,-0.23305588585017836,-0.12247324613555291,4.551240236472859,5,0.0049113793486025049
n4q29d43,S_v2,2,0.20171955227851868,-0.12128418549346016,-0.094233055885850181,4.5979280890653751,5,0.0048911808076392629
