key_id,su1_numerator,minimum_margin,Nz,Ez
1,49,7,76313664,0
1,50,1,2325741568,0
1,50,2,32713998336,0
1,50,3,45599145984,0
1,50,4,35421553152,0
1,50,5,14675528064,0
1,50,6,2085082128,0
1,50,7,71278704,0
1,51,1,7801405440,0
1,51,2,28595060736,0
1,51,3,79242510336,0
1,51,4,29301533952,0
1,51,5,22970795040,0
1,51,6,5062837824,0
1,51,7,15730848,0
1,52,1,7020216320,0
1,52,2,50533392384,0
1,52,3,64828055552,0
1,52,4,31106809344,0
1,52,5,19017135552,0
1,52,6,4275335232,0
1,52,7,580608,0
1,53,1,12538871808,0
1,53,2,41222479872,0
1,53,3,63094526976,0
1,53,4,22779490176,0
1,53,5,15702281664,0
1,53,6,1846562112,0
1,53,7,1524096,0
1,54,1,10501488640,0
1,54,2,43291901952,0
1,54,3,41894255616,0
1,54,4,17468059392,0
1,54,5,8215486400,0
1,54,6,480711744,0
1,54,7,1016064,0
1,55,1,9772204032,0
1,55,2,29675814912,0
1,55,3,23735697408,0
1,55,4,10646289024,0
1,55,5,2695336704,0
1,55,6,129757824,0
1,56,1,6763839488,0
1,56,2,17061052416,0
1,56,3,11175882752,0
1,56,4,4375348224,0
1,56,5,974831616,0
1,56,6,31804416,0
1,57,1,3392667648,0
1,57,2,8317796352,0
1,57,3,3492458496,0
1,57,4,1414517760,0
1,57,5,241484544,0
1,57,6,2177280,0
1,58,1,1562902528,0
1,58,2,2168537088,0
1,58,3,707119104,0
1,58,4,276804096,0
1,58,5,31863552,0
1,58,6,725760,0
1,59,1,424673280,0
1,59,2,209534976,0
1,59,3,94832640,0
1,59,4,22982400,0
1,59,5,2951424,0
1,60,1,40894464,0
1,60,2,1179648,0
1,60,3,7741440,0
1,60,4,354816,0
1,60,5,161280,0
1,71,4,1061683200,0
1,71,5,287745696,0
1,71,6,9525600,0
1,72,1,6291456,0
1,72,2,11010048,0
1,72,3,4128768,0
1,72,4,5165531136,0
1,72,5,2902790016,0
1,72,6,114307200,0
1,73,2,3730046976,0
1,73,3,4385636352,0
1,73,4,9267747840,0
1,73,5,5211721440,0
1,73,6,54088992,0
1,74,-1,18874368,18874368
1,74,1,93585408,0
1,74,2,14442102784,0
1,74,3,14665383936,0
1,74,4,22076862336,0
1,74,5,9571276416,0
1,74,6,905624064,0
1,75,-1,339738624,339738624
1,75,1,188743680,0
1,75,2,38688325632,0
1,75,3,38341794816,0
1,75,4,27328167936,0
1,75,5,15099559776,0
1,75,6,640993824,0
1,75,7,17635968,0
1,76,-2,6291456,6291456
1,76,-1,1591738368,1591738368
1,76,1,1032585216,0
1,76,2,57341116416,0
1,76,3,56305732608,0
1,76,4,36466403328,0
1,76,5,9709301376,0
1,76,6,1275682176,0
1,77,-2,56623104,56623104
1,77,-1,3227516928,3227516928
1,77,1,1698693120,0
1,77,2,111331368960,0
1,77,3,98884939776,0
1,77,4,43475294208,0
1,77,5,20188621248,0
1,77,6,2177107776,0
1,77,7,11757312,0
1,78,-2,207618048,207618048
1,78,-1,5454692352,5454692352
1,78,1,4364697600,0
1,78,2,68070445056,0
1,78,3,59416058880,0
1,78,4,63080180352,0
1,78,5,12615260544,0
1,78,6,3619786752,0
1,79,-2,509607936,509607936
1,79,-1,7832862720,7832862720
1,79,1,5265948672,0
1,79,2,116549369856,0
1,79,3,101826035712,0
1,79,4,75243839744,0
1,79,5,32106627264,0
1,79,6,3429904064,0
1,79,7,11104128,0
1,80,-2,1075838976,1075838976
1,80,-1,2661285888,2661285888
1,80,1,6433800192,0
1,80,2,52687798272,0
1,80,3,65973657600,0
1,80,4,88247345280,0
1,80,5,10246463616,0
1,80,6,6061661952,0
1,81,-2,1528823808,1528823808
1,81,-1,3793747968,3793747968
1,81,1,6624903168,0
1,81,2,70434816000,0
1,81,3,116201152512,0
