key_id,x_numerator,coordinate_margin,Nz,Ez
8,4,3,392318418944,0
8,4,4,651895504896,0
8,4,5,1104075030528,0
8,4,6,1529813663744,0
8,4,7,1867237031936,0
8,4,8,463051161600,0
8,5,-4,402653184,402653184
8,5,-3,6576668672,6576668672
8,5,-2,12348030976,12348030976
8,5,-1,41741713408,41741713408
8,5,1,80127983616,0
8,5,2,218238025728,0
8,5,3,432583737344,0
8,5,4,735378931712,0
8,5,5,508550971392,0
8,5,6,882884214784,0
8,5,7,877783941120,0
8,5,8,326551732224,0
8,7,-3,3221225472,3221225472
8,7,-1,62008590336,62008590336
8,7,1,52747567104,0
8,7,2,433254825984,0
8,7,3,291923558400,0
8,7,4,1150514364416,0
8,7,5,786381668352,0
8,7,6,1753286180864,0
8,7,7,1325265846272,0
8,7,8,463588032512,0
8,9,1,13287555072,0
8,9,2,33822867456,0
8,9,3,121467043840,0
8,9,4,250718715904,0
8,9,5,365340655616,0
8,9,6,522509615104,0
8,9,7,706924773376,0
8,9,8,184952029184,0
8,11,-2,5234491392,5234491392
8,11,-1,21474836480,21474836480
8,11,1,103616086016,0
8,11,2,166698418176,0
8,11,3,491236884480,0
8,11,4,520899002368,0
8,11,5,1345264287744,0
8,11,6,1074547130368,0
8,11,7,2003870679040,0
8,11,8,314472136704,0
8,13,-4,402653184,402653184
8,13,-3,4563402752,4563402752
8,13,-2,18656264192,18656264192
8,13,-1,37446746112,37446746112
8,13,1,108984795136,0
8,13,2,140794396672,0
8,13,3,392049983488,0
8,13,4,401445224448,0
8,13,5,811748818944,0
8,13,6,993882275840,0
8,13,7,938987225088,0
8,13,8,274206818304,0
8,14,-4,1207959552,1207959552
8,14,-3,4831838208,4831838208
8,14,-2,11274289152,11274289152
8,14,-1,25769803776,25769803776
8,14,1,59190018048,0
8,14,2,68451041280,0
8,14,3,260113956864,0
8,14,4,223069863936,0
8,14,5,761819824128,0
8,14,6,553245474816,0
8,14,7,1229702823936,0
8,14,8,99857989632,0
9,0,1,4831838208,0
9,0,2,12482248704,0
9,0,3,73685532672,0
9,0,4,89657442304,0
9,0,5,270448721920,0
9,0,6,293131517952,0
9,0,7,287897026560,0
9,0,8,67377299456,0
9,2,-1,3758096384,3758096384
9,2,1,16911433728,0
9,2,2,40265318400,0
9,2,3,238907555840,0
9,2,4,508953624576,0
9,2,5,780073435136,0
9,2,6,1108101562368,0
9,2,7,1505251819520,0
9,2,8,470701572096,0
9,4,-1,1610612736,1610612736
9,4,1,24561844224,0
9,4,2,169248555008,0
9,4,3,432449519616,0
9,4,4,541971185664,0
9,4,5,905298575360,0
9,4,6,835639574528,0
9,4,7,949858861056,0
9,4,8,262529875968,0
