feature_id,feature_value,Nz,Ez
secret_key,"A=0.22.3.26|t=1.1.0.0|e=28.0.0.1",268435456,196608
secret_key,"A=13.4.19.10|t=1.0.1.28|e=28.28.1.1",268435456,7512064
secret_key,"A=13.5.14.13|t=1.0.0.28|e=0.0.0.1",268435456,32768
secret_key,"A=13.7.4.22|t=0.28.0.1|e=1.1.0.0",268435456,720896
secret_key,"A=14.1.26.23|t=1.0.0.28|e=0.0.1.0",268435456,832512
secret_key,"A=14.13.25.25|t=1.0.28.1|e=0.0.0.1",268435456,678400
secret_key,"A=14.14.16.22|t=1.0.1.1|e=0.0.28.0",268435456,1097728
secret_key,"A=14.17.14.4|t=0.0.1.1|e=1.1.1.28",268435456,2391680
secret_key,"A=14.18.17.2|t=1.28.0.1|e=28.28.1.28",268435456,3107328
secret_key,"A=14.26.9.23|t=0.28.0.28|e=28.28.0.0",268435456,1114112
secret_key,"A=15.12.19.10|t=1.28.0.1|e=0.28.0.28",268435456,1121152
secret_key,"A=15.17.3.17|t=1.0.0.28|e=0.0.0.0",268435456,0
secret_key,"A=15.21.15.6|t=0.1.0.0|e=0.28.28.28",268435456,131072
secret_key,"A=15.25.27.20|t=1.0.0.28|e=28.28.28.1",268435456,2537472
secret_key,"A=15.28.28.0|t=0.1.1.0|e=0.1.28.28",268435456,671744
secret_key,"A=15.9.23.19|t=0.0.28.28|e=0.0.0.1",268435456,98304
secret_key,"A=16.0.6.24|t=0.0.28.28|e=0.28.0.1",268435456,393216
secret_key,"A=16.18.27.2|t=28.28.1.0|e=1.0.28.28",268435456,4755456
secret_key,"A=16.9.2.11|t=1.1.0.28|e=0.0.0.0",268435456,416000
secret_key,"A=17.17.25.21|t=1.0.28.1|e=0.1.1.0",268435456,1793792
secret_key,"A=17.9.21.5|t=28.28.0.28|e=0.1.1.0",268435456,2927616
secret_key,"A=18.0.28.26|t=0.0.0.0|e=28.28.28.28",268435456,524288
secret_key,"A=18.24.19.27|t=1.28.0.0|e=28.0.0.0",268435456,98304
secret_key,"A=18.4.3.3|t=1.1.28.0|e=0.0.0.0",268435456,147456
secret_key,"A=18.9.28.20|t=28.28.1.28|e=1.28.0.1",268435456,8996864
secret_key,"A=19.15.26.9|t=28.0.0.0|e=0.1.0.0",268435456,0
secret_key,"A=19.28.24.8|t=28.1.28.0|e=28.28.28.1",268435456,3723264
secret_key,"A=19.3.5.24|t=0.0.0.0|e=0.1.0.28",268435456,0
secret_key,"A=19.6.16.2|t=0.0.0.0|e=28.0.28.0",268435456,0
secret_key,"A=2.12.18.15|t=28.28.0.1|e=0.28.28.28",268435456,2723840
secret_key,"A=2.4.7.14|t=1.0.28.1|e=1.1.1.0",268435456,2758400
secret_key,"A=2.9.10.8|t=1.1.1.1|e=0.0.0.0",268435456,2792256
secret_key,"A=20.14.2.27|t=28.0.1.28|e=0.0.1.1",268435456,2492544
secret_key,"A=20.17.4.3|t=0.28.0.1|e=0.0.0.1",268435456,0
secret_key,"A=20.26.8.17|t=1.28.1.0|e=28.1.0.1",268435456,4326144
secret_key,"A=20.3.8.27|t=28.28.0.28|e=0.0.0.1",268435456,937984
secret_key,"A=21.12.0.2|t=1.0.1.0|e=0.0.1.0",268435456,229376
secret_key,"A=21.12.6.6|t=28.0.28.0|e=0.1.1.28",268435456,1081344
secret_key,"A=21.24.1.16|t=1.0.0.0|e=0.28.28.1",268435456,393216
