dataset,evaluation_mode,target_s,joint_gain_bits,marginal_gain_bits,delta_gain_bits,delta_ci_low,delta_ci_high,joint_auc,marginal_auc,joint_auc_ci_low,joint_auc_ci_high,marginal_auc_ci_low,marginal_auc_ci_high
e1a,recalibrated,6,-0.060928316668037358,0.28775666501609615,-0.34868498168413353,-0.34868498168413353,-0.34868498168413353,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,recalibrated,8,0.18575351803039403,0.7824761615529956,-0.59672264352260163,-0.59672264352260163,-0.59672264352260163,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,recalibrated,10,0.73782032481470405,-0.24284043264708211,0.98066075746178616,0.98066075746178616,0.98066075746178616,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,frozen,2,0.069109480696067052,0.28775666501609615,-0.21864718432002911,-0.21864718432002911,-0.21864718432002911,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,frozen,4,NA,NA,NA,NA,NA,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,frozen,6,NA,NA,NA,NA,NA,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,frozen,8,NA,NA,NA,NA,NA,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,frozen,10,NA,NA,NA,NA,NA,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
n4q29d43,recalibrated,2,0.22199124192413025,0.22580371440500846,-0.0038124724808782096,-0.060961549558192024,0.044863857283300557,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,recalibrated,4,0.21327985827978097,0.27158666739123305,-0.058306809111452085,-0.18634865192565692,0.077413298011221487,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
