dataset,score,threshold,false_positive_rate,true_positive_rate,auc
e1a,marginal,-0.056595154776545233,0.16779129601828852,0.25675045267209518,0.59941773570050161
e1a,marginal,-0.0822737174724959,0.17656727405066228,0.26694435165227975,0.59941773570050161
e1a,marginal,-0.085145996801055987,0.18163152294854393,0.27248067499739353,0.59941773570050161
e1a,marginal,-0.092808057159284904,0.20019374499802409,0.28565231591512108,0.59941773570050161
e1a,marginal,-0.095329877062998739,0.20489484307121739,0.29764626468391681,0.59941773570050161
e1a,marginal,-0.098139834640922685,0.22394035470265186,0.33365005308657475,0.59941773570050161
e1a,marginal,-0.11848661985523556,0.23580299920038814,0.34724617383034001,0.59941773570050161
e1a,marginal,-0.13154277944573842,0.24770903340454983,0.36579961254247456,0.59941773570050161
e1a,marginal,-0.13435273702366235,0.27847812348884315,0.40262057780321581,0.59941773570050161
e1a,marginal,-0.15182724290941513,0.28053998737241798,0.404286581330973,0.59941773570050161
e1a,marginal,-0.16488340249991798,0.2869825279567042,0.41405706434433293,0.59941773570050161
e1a,marginal,-0.16775568182847808,0.29783747045692499,0.42716753335730562,0.59941773570050161
e1a,marginal,-0.17308745931011588,0.32826600141505685,0.47148338677452778,0.59941773570050161
e1a,marginal,-0.17793956209042083,0.32902247668224194,0.47505369829378258,0.59941773570050161
e1a,marginal,-0.20109630488265764,0.343482440230927,0.48299221574213758,0.59941773570050161
e1a,marginal,-0.20930036169285554,0.38452834321704554,0.53466678333656037,0.59941773570050161
e1a,marginal,-0.2141524644731605,0.38835464846700857,0.54756820401415363,0.59941773570050161
e1a,marginal,-0.2426409847470351,0.40182852784173195,0.5592683946577246,0.59941773570050161
e1a,marginal,-0.24803508397930904,0.41341855887456058,0.57308805881864822,0.59941773570050161
e1a,marginal,-0.25036536685590016,0.48673824930160509,0.57479821250375007,0.59941773570050161
e1a,marginal,-0.25569714433753798,0.50959157356275198,0.63424932498132924,0.59941773570050161
e1a,marginal,-0.28424798636204873,0.52357516369242685,0.65340038660643807,0.59941773570050161
e1a,marginal,-0.29191004672027765,0.57173353420614248,0.70482601114498911,0.59941773570050161
e1a,marginal,-0.3175886094162283,0.58136125668738481,0.7139814505507599,0.59941773570050161
e1a,marginal,-0.33064476900673112,0.60118425617652416,0.74798611450955022,0.59941773570050161
e1a,marginal,-0.33345472658465508,0.6240115664214424,0.77700447033641351,0.59941773570050161
e1a,marginal,-0.36685767138947079,0.65525530225953954,0.81432651328653771,0.59941773570050161
e1a,marginal,-0.4001982944436504,0.66566099678491408,0.82236184192328721,0.59941773570050161
e1a,marginal,-0.40840235125384827,0.69815614545699756,0.86044507614040389,0.59941773570050161
