dataset,n,q,du,dv,score,evaluation_mode,target_s,threshold,selection_probability,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,ci_low,ci_high,frozen_score_sha256
e1a,2,19,3,2,joint,recalibrated,4,0.047984044759390672,0.059712940966323472,0.039730927950787739,0.041377319807282889,1.041438545269681,0.05857770922923549,0.05857770922923549,0.05857770922923549,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,recalibrated,6,0.14389264975069915,0.018320596119043239,0.039730927950787739,0.038087937656560836,0.95864706970192148,-0.060928316668037358,-0.060928316668037358,-0.060928316668037358,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,recalibrated,8,0.21376799186532983,0.0034439002377835005,0.039730927950787739,0.045190389984965176,1.1374108865753083,0.18575351803039403,0.18575351803039403,0.18575351803039403,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,recalibrated,10,0.28778529950139831,0.0008538792998506752,0.039730927950787739,0.066257456129495337,1.6676543827912698,0.73782032481470405,0.73782032481470405,0.73782032481470405,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,frozen,2,0.15332347181107994,0.0097201339425802887,0.039730927950787739,0.041680482249919826,1.0490689344469095,0.069109480696067052,0.069109480696067052,0.069109480696067052,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,frozen,4,0.53479260319188826,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,frozen,6,0.75316659110712658,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,frozen,8,0.94046434003944224,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,frozen,10,0.94046434003944224,0,0.039730927950787739,NA,NA,NA,NA,NA,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,recalibrated,2,-0.13154277944573842,0.25240088169594549,0.039730927950787739,0.057581249133111058,1.4492802484863534,0.53533659697060765,0.53533659697060765,0.53533659697060765,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,recalibrated,4,0.064749252537330368,0.059713464034231084,0.039730927950787739,0.058252873026229522,1.4661845577426176,0.55206671587376865,0.55206671587376865,0.55206671587376865,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,recalibrated,6,0.15556299437495036,0.017832579044754156,0.039730927950787739,0.04850115669413025,1.2207405967010299,0.28775666501609615,0.28775666501609615,0.28775666501609615,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,recalibrated,8,0.22798879914042969,0.0051702990756470743,0.039730927950787739,0.068340398049402604,1.7200805914740189,0.7824761615529956,0.7824761615529956,0.7824761615529956,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,recalibrated,10,0.28258963859531,0.0012551093695896815,0.039730927950787739,0.033575806560247862,0.84507984816856407,-0.24284043264708211,-0.24284043264708211,-0.24284043264708211,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,marginal,frozen,2,0.15556299437495036,0.017832579044754156,0.039730927950787739,0.04850115669413025,1.2207405967010299,0.28775666501609615,0.28775666501609615,0.28775666501609615,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
