rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
14113,A=0.16|t=0.16|e=0.0,3053,9248,9248,3053,1.5989138082938987,1.5989138082938987
14114,A=0.16|t=0.16|e=0.1,6107,18496,18496,6107,1.5986775526574275,1.5986775526574275
14115,A=0.16|t=0.16|e=0.16,1527,4624,4624,1527,1.5984413357038272,1.5984413357038272
14116,A=0.16|t=0.16|e=1.0,6109,18496,18496,6109,1.5982051574204335,1.5982051574204335
14117,A=0.16|t=0.16|e=16.0,3055,9248,9248,3055,1.5979690177945869,1.5979690177945869
14118,A=0.16|t=0.1|e=0.0,191,578,578,191,1.5974968544649302,1.5974968544649302
14119,A=0.16|t=0.1|e=0.1,6113,18496,18496,6113,1.597260830735833,1.597260830735833
14120,A=0.16|t=0.1|e=0.16,3057,9248,9248,3057,1.5970248456137088,1.5970248456137088
14121,A=0.16|t=0.1|e=1.0,6115,18496,18496,6115,1.5967888990859298,1.5967888990859298
14122,A=0.16|t=0.1|e=16.0,1529,4624,4624,1529,1.5965529911398741,1.5965529911398741
14123,A=0.16|t=1.0|e=0.0,3059,9248,9248,3059,1.5960812909424762,1.5960812909424762
14124,A=0.16|t=1.0|e=0.1,6119,18496,18496,6119,1.5958454986659216,1.5958454986659216
14125,A=0.16|t=1.0|e=0.16,45,136,136,45,1.5956097449206648,1.5956097449206648
14126,A=0.16|t=1.0|e=1.0,6121,18496,18496,6121,1.595374029694115,1.5953740296941148
14127,A=0.16|t=1.0|e=16.0,3061,9248,9248,3061,1.5951383529736873,1.5951383529736871
14128,A=0.16|t=1.16|e=0.0,6123,18496,18496,6123,1.5949027147468036,1.5949027147468033
14129,A=0.16|t=1.1|e=0.0,1531,4624,4624,1531,1.594667115000891,1.594667115000891
14130,A=0.16|t=16.0|e=0.0,3063,9248,9248,3063,1.5941960309017211,1.5941960309017211
14131,A=0.16|t=16.0|e=0.1,6127,18496,18496,6127,1.59396054652335,1.5939605465233497
14132,A=0.16|t=16.0|e=0.16,383,1156,1156,383,1.5937251005757216,1.5937251005757218
14133,A=0.16|t=16.0|e=1.0,6129,18496,18496,6129,1.5934896930462952,1.5934896930462952
14134,A=0.16|t=16.0|e=16.0,3065,9248,9248,3065,1.593254323922535,1.593254323922535
14135,A=0.16|t=16.16|e=0.0,6131,18496,18496,6131,1.5930189931919114,1.5930189931919114
14136,A=0.16|t=16.1|e=0.0,1533,4624,4624,1533,1.5927837008419012,1.5927837008419012
14137,A=0.1|t=0.0|e=0.0,767,2312,2312,767,1.5918429149977453,1.5918429149977453
14138,A=0.1|t=0.0|e=0.1,3069,9248,9248,3069,1.5913727520341938,1.591372752034194
14139,A=0.1|t=0.0|e=0.16,1535,4624,4624,1535,1.5909027422431372,1.5909027422431372
14140,A=0.1|t=0.0|e=1.0,3071,9248,9248,3071,1.5904328855248042,1.5904328855248044
14141,A=0.1|t=0.0|e=1.1,6143,18496,18496,6143,1.5901980145367578,1.5901980145367578
14142,A=0.1|t=0.0|e=1.16,96,289,289,96,1.5899631817795228,1.5899631817795226
14143,A=0.1|t=0.0|e=16.0,3073,9248,9248,3073,1.5894936309077166,1.5894936309077163
14144,A=0.1|t=0.0|e=16.1,6147,18496,18496,6147,1.5892589127682761,1.589258912768276
14145,A=0.1|t=0.0|e=16.16,1537,4624,4624,1537,1.5890242328099073,1.5890242328099076
14146,A=0.1|t=0.16|e=0.0,3075,9248,9248,3075,1.5885549873867142,1.5885549873867142
14147,A=0.1|t=0.16|e=0.1,6151,18496,18496,6151,1.5883204218970683,1.5883204218970683
14148,A=0.1|t=0.16|e=0.16,769,2312,2312,769,1.5880858945388523,1.5880858945388523
14149,A=0.1|t=0.16|e=1.0,6153,18496,18496,6153,1.5878514052996706,1.5878514052996706
14150,A=0.1|t=0.16|e=16.0,181,544,544,181,1.587616954167134,1.5876169541671339
14151,A=0.1|t=0.1|e=0.0,1539,4624,4624,1539,1.5871481661724687,1.5871481661724685
14152,A=0.1|t=0.1|e=0.1,6157,18496,18496,6157,1.586913829285591,1.586913829285591
14153,A=0.1|t=0.1|e=0.16,3079,9248,9248,3079,1.5866795304558616,1.5866795304558614
14154,A=0.1|t=0.1|e=1.0,6159,18496,18496,6159,1.5864452696709206,1.5864452696709206
14155,A=0.1|t=0.1|e=16.0,385,1156,1156,385,1.5862110469184152,1.5862110469184152
14156,A=0.1|t=1.0|e=0.0,3081,9248,9248,3081,1.5857427154613275,1.5857427154613277
14157,A=0.1|t=1.0|e=0.1,6163,18496,18496,6163,1.5855086067320692,1.5855086067320692
14158,A=0.1|t=1.0|e=0.16,1541,4624,4624,1541,1.5852745359858935,1.5852745359858935
14159,A=0.1|t=1.0|e=1.0,6165,18496,18496,6165,1.5850405032104773,1.5850405032104773
14160,A=0.1|t=1.0|e=16.0,3083,9248,9248,3083,1.5848065083935037,1.5848065083935037
14161,A=0.1|t=1.16|e=0.0,6167,18496,18496,6167,1.5845725515226612,1.584572551522661
14162,A=0.1|t=1.1|e=0.0,771,2312,2312,771,1.5843386325856446,1.5843386325856446
14163,A=0.1|t=16.0|e=0.0,3085,9248,9248,3085,1.5838709084638987,1.5838709084638984
14164,A=0.1|t=16.0|e=0.1,363,1088,1088,363,1.5836371032545888,1.5836371032545888
14165,A=0.1|t=16.0|e=0.16,1543,4624,4624,1543,1.5834033359299438,1.583403335929944
14166,A=0.1|t=16.0|e=1.0,6173,18496,18496,6173,1.5831696064776888,1.5831696064776888
14167,A=0.1|t=16.0|e=16.0,3087,9248,9248,3087,1.5829359148855542,1.5829359148855542
14168,A=0.1|t=16.16|e=0.0,6175,18496,18496,6175,1.5827022611412764,1.5827022611412764
14169,A=0.1|t=16.1|e=0.0,193,578,578,193,1.5824686452325984,1.5824686452325984
14170,A=0.2|t=0.0|e=0.0,1545,4624,4624,1545,1.5815345597089419,1.5815345597089419
14171,A=0.2|t=0.0|e=0.1,3091,9248,9248,3091,1.5810677436424554,1.5810677436424554
14172,A=0.2|t=0.0|e=0.16,773,2312,2312,773,1.5806010785758315,1.5806010785758313
14173,A=0.2|t=0.0|e=1.0,3093,9248,9248,3093,1.5801345644114142,1.5801345644114142
14174,A=0.2|t=0.0|e=1.1,6187,18496,18496,6187,1.5799013638870418,1.5799013638870418
14175,A=0.2|t=0.0|e=1.16,91,272,272,91,1.5796682010516432,1.5796682010516432
14176,A=0.2|t=0.0|e=16.0,3095,9248,9248,3095,1.5792019883990518,1.5792019883990518
14177,A=0.2|t=0.0|e=16.1,6191,18496,18496,6191,1.5789689385575163,1.5789689385575163
